Sampling rate: 250Hz, SamplingInterval: 4ms
Type, Description, Position, Length, Channel
Pulse Artifact, R, 71100, 1, ECG
Pulse Artifact, R, 71324, 1, ECG
Pulse Artifact, R, 71540, 1, ECG
Pulse Artifact, R, 71768, 1, ECG
Pulse Artifact, R, 72215, 1, ECG
Pulse Artifact, R, 72454, 1, ECG
Pulse Artifact, R, 72665, 1, ECG
Pulse Artifact, R, 72887, 1, ECG
Pulse Artifact, R, 73142, 1, ECG
Pulse Artifact, R, 73384, 1, ECG
Pulse Artifact, R, 73613, 1, ECG
Pulse Artifact, R, 73831, 1, ECG
Pulse Artifact, R, 74072, 1, ECG
Pulse Artifact, R, 74508, 1, ECG
Pulse Artifact, R, 74738, 1, ECG
Pulse Artifact, R, 74964, 1, ECG
Pulse Artifact, R, 75218, 1, ECG
Pulse Artifact, R, 75434, 1, ECG
Pulse Artifact, R, 75651, 1, ECG
Pulse Artifact, R, 76102, 1, ECG
Pulse Artifact, R, 76354, 1, ECG
Pulse Artifact, R, 76564, 1, ECG
Pulse Artifact, R, 76792, 1, ECG
Pulse Artifact, R, 77035, 1, ECG
Pulse Artifact, R, 77490, 1, ECG
Pulse Artifact, R, 77717, 1, ECG
Pulse Artifact, R, 77948, 1, ECG
Pulse Artifact, R, 78213, 1, ECG
Pulse Artifact, R, 78653, 1, ECG
Pulse Artifact, R, 78879, 1, ECG
Pulse Artifact, R, 79139, 1, ECG
Pulse Artifact, R, 79576, 1, ECG
Pulse Artifact, R, 79801, 1, ECG
Pulse Artifact, R, 80017, 1, ECG
Pulse Artifact, R, 80245, 1, ECG
Pulse Artifact, R, 80488, 1, ECG
Pulse Artifact, R, 80732, 1, ECG
Pulse Artifact, R, 81166, 1, ECG
Pulse Artifact, R, 81394, 1, ECG
Pulse Artifact, R, 81624, 1, ECG
Pulse Artifact, R, 81871, 1, ECG
Pulse Artifact, R, 82115, 1, ECG
Pulse Artifact, R, 82550, 1, ECG
Pulse Artifact, R, 82785, 1, ECG
Pulse Artifact, R, 83034, 1, ECG
Pulse Artifact, R, 83278, 1, ECG
Pulse Artifact, R, 83501, 1, ECG
Pulse Artifact, R, 83734, 1, ECG
Pulse Artifact, R, 84184, 1, ECG
Pulse Artifact, R, 84426, 1, ECG
Pulse Artifact, R, 84638, 1, ECG
Pulse Artifact, R, 84868, 1, ECG
Pulse Artifact, R, 85126, 1, ECG
Pulse Artifact, R, 85562, 1, ECG
Pulse Artifact, R, 85779, 1, ECG
Pulse Artifact, R, 86001, 1, ECG
Pulse Artifact, R, 86237, 1, ECG
Pulse Artifact, R, 86477, 1, ECG
Pulse Artifact, R, 86690, 1, ECG
Pulse Artifact, R, 86917, 1, ECG
Pulse Artifact, R, 87357, 1, ECG
Pulse Artifact, R, 87586, 1, ECG
Pulse Artifact, R, 87793, 1, ECG
Pulse Artifact, R, 88029, 1, ECG
Pulse Artifact, R, 88282, 1, ECG
Pulse Artifact, R, 88497, 1, ECG
Pulse Artifact, R, 88712, 1, ECG
Pulse Artifact, R, 89150, 1, ECG
Pulse Artifact, R, 89382, 1, ECG
Pulse Artifact, R, 89588, 1, ECG
Pulse Artifact, R, 89809, 1, ECG
Pulse Artifact, R, 90061, 1, ECG
Pulse Artifact, R, 90492, 1, ECG
Pulse Artifact, R, 90714, 1, ECG
Pulse Artifact, R, 90939, 1, ECG
Pulse Artifact, R, 91419, 1, ECG
Pulse Artifact, R, 91634, 1, ECG
Pulse Artifact, R, 91877, 1, ECG
Pulse Artifact, R, 92311, 1, ECG
Pulse Artifact, R, 92532, 1, ECG
Pulse Artifact, R, 92760, 1, ECG
Pulse Artifact, R, 93204, 1, ECG
Pulse Artifact, R, 93412, 1, ECG
Pulse Artifact, R, 93872, 1, ECG
Pulse Artifact, R, 94112, 1, ECG
Pulse Artifact, R, 94328, 1, ECG
Pulse Artifact, R, 94539, 1, ECG
Pulse Artifact, R, 94998, 1, ECG
Pulse Artifact, R, 95230, 1, ECG
Pulse Artifact, R, 95443, 1, ECG
Pulse Artifact, R, 95652, 1, ECG
Pulse Artifact, R, 95904, 1, ECG
Pulse Artifact, R, 96345, 1, ECG
Pulse Artifact, R, 96579, 1, ECG
Pulse Artifact, R, 96788, 1, ECG
Pulse Artifact, R, 97047, 1, ECG
Pulse Artifact, R, 97489, 1, ECG
Pulse Artifact, R, 97720, 1, ECG
Pulse Artifact, R, 97930, 1, ECG
Pulse Artifact, R, 98162, 1, ECG
Pulse Artifact, R, 98423, 1, ECG
Pulse Artifact, R, 98855, 1, ECG
Pulse Artifact, R, 99088, 1, ECG
Pulse Artifact, R, 99324, 1, ECG
Pulse Artifact, R, 99561, 1, ECG
Pulse Artifact, R, 99802, 1, ECG
Pulse Artifact, R, 100022, 1, ECG
Pulse Artifact, R, 100266, 1, ECG
Pulse Artifact, R, 100707, 1, ECG
Pulse Artifact, R, 100929, 1, ECG
Pulse Artifact, R, 101149, 1, ECG
Pulse Artifact, R, 101392, 1, ECG
Pulse Artifact, R, 101640, 1, ECG
Pulse Artifact, R, 101860, 1, ECG
Pulse Artifact, R, 102304, 1, ECG
Pulse Artifact, R, 102570, 1, ECG
Pulse Artifact, R, 102784, 1, ECG
Pulse Artifact, R, 102996, 1, ECG
Pulse Artifact, R, 103250, 1, ECG
Pulse Artifact, R, 103489, 1, ECG
Pulse Artifact, R, 103701, 1, ECG
Pulse Artifact, R, 103936, 1, ECG
Pulse Artifact, R, 104174, 1, ECG
Pulse Artifact, R, 104422, 1, ECG
Pulse Artifact, R, 104638, 1, ECG
Pulse Artifact, R, 104872, 1, ECG
Pulse Artifact, R, 105116, 1, ECG
Pulse Artifact, R, 105346, 1, ECG
Pulse Artifact, R, 105564, 1, ECG
Pulse Artifact, R, 105808, 1, ECG
Pulse Artifact, R, 106259, 1, ECG
Pulse Artifact, R, 106494, 1, ECG
Pulse Artifact, R, 106710, 1, ECG
Pulse Artifact, R, 106941, 1, ECG
Pulse Artifact, R, 107199, 1, ECG
Pulse Artifact, R, 107439, 1, ECG
Pulse Artifact, R, 107677, 1, ECG
Pulse Artifact, R, 107903, 1, ECG
Pulse Artifact, R, 108362, 1, ECG
Pulse Artifact, R, 108615, 1, ECG
Pulse Artifact, R, 108837, 1, ECG
Pulse Artifact, R, 109063, 1, ECG
Pulse Artifact, R, 109317, 1, ECG
Pulse Artifact, R, 109563, 1, ECG
Pulse Artifact, R, 110010, 1, ECG
Pulse Artifact, R, 110243, 1, ECG
Pulse Artifact, R, 110471, 1, ECG
Pulse Artifact, R, 110727, 1, ECG
Pulse Artifact, R, 111177, 1, ECG
Pulse Artifact, R, 111416, 1, ECG
Pulse Artifact, R, 111678, 1, ECG
Pulse Artifact, R, 112125, 1, ECG
Pulse Artifact, R, 112363, 1, ECG
Pulse Artifact, R, 112597, 1, ECG
Pulse Artifact, R, 113061, 1, ECG
Pulse Artifact, R, 113294, 1, ECG
Pulse Artifact, R, 113519, 1, ECG
Pulse Artifact, R, 113761, 1, ECG
Pulse Artifact, R, 114213, 1, ECG
Pulse Artifact, R, 114448, 1, ECG
Pulse Artifact, R, 114679, 1, ECG
Pulse Artifact, R, 114949, 1, ECG
Pulse Artifact, R, 115383, 1, ECG
Pulse Artifact, R, 115618, 1, ECG
Pulse Artifact, R, 115849, 1, ECG
Pulse Artifact, R, 116087, 1, ECG
Pulse Artifact, R, 116317, 1, ECG
Pulse Artifact, R, 116542, 1, ECG
Pulse Artifact, R, 116796, 1, ECG
Pulse Artifact, R, 117234, 1, ECG
Pulse Artifact, R, 117463, 1, ECG
Pulse Artifact, R, 117689, 1, ECG
Pulse Artifact, R, 117917, 1, ECG
Pulse Artifact, R, 118130, 1, ECG
Pulse Artifact, R, 118359, 1, ECG
Pulse Artifact, R, 118609, 1, ECG
Pulse Artifact, R, 118856, 1, ECG
Pulse Artifact, R, 119073, 1, ECG
Pulse Artifact, R, 119305, 1, ECG
Pulse Artifact, R, 119757, 1, ECG
Pulse Artifact, R, 120216, 1, ECG
Pulse Artifact, R, 120448, 1, ECG
Pulse Artifact, R, 120675, 1, ECG
Pulse Artifact, R, 120887, 1, ECG
Pulse Artifact, R, 121103, 1, ECG
Pulse Artifact, R, 121350, 1, ECG
Pulse Artifact, R, 121586, 1, ECG
Pulse Artifact, R, 121807, 1, ECG
Pulse Artifact, R, 122034, 1, ECG
Pulse Artifact, R, 122272, 1, ECG
Pulse Artifact, R, 122505, 1, ECG
Pulse Artifact, R, 122741, 1, ECG
Pulse Artifact, R, 122964, 1, ECG
Pulse Artifact, R, 123195, 1, ECG
Pulse Artifact, R, 123658, 1, ECG
Pulse Artifact, R, 123900, 1, ECG
Pulse Artifact, R, 124119, 1, ECG
Pulse Artifact, R, 124354, 1, ECG
Pulse Artifact, R, 124609, 1, ECG
Pulse Artifact, R, 124849, 1, ECG
Pulse Artifact, R, 125075, 1, ECG
Pulse Artifact, R, 125315, 1, ECG
Pulse Artifact, R, 125564, 1, ECG
Pulse Artifact, R, 126015, 1, ECG
Pulse Artifact, R, 126242, 1, ECG
Pulse Artifact, R, 126471, 1, ECG
Pulse Artifact, R, 126705, 1, ECG
Pulse Artifact, R, 126953, 1, ECG
Pulse Artifact, R, 127168, 1, ECG
Pulse Artifact, R, 127408, 1, ECG
Pulse Artifact, R, 127873, 1, ECG
Pulse Artifact, R, 128145, 1, ECG
Pulse Artifact, R, 128362, 1, ECG
Pulse Artifact, R, 128606, 1, ECG
Pulse Artifact, R, 129071, 1, ECG
Pulse Artifact, R, 129304, 1, ECG
Pulse Artifact, R, 129534, 1, ECG
Pulse Artifact, R, 129789, 1, ECG
Pulse Artifact, R, 130045, 1, ECG
Pulse Artifact, R, 130483, 1, ECG
Pulse Artifact, R, 130721, 1, ECG
Pulse Artifact, R, 130958, 1, ECG
Pulse Artifact, R, 131402, 1, ECG
Pulse Artifact, R, 131638, 1, ECG
Pulse Artifact, R, 132111, 1, ECG
Pulse Artifact, R, 132345, 1, ECG
Pulse Artifact, R, 132560, 1, ECG
Pulse Artifact, R, 132797, 1, ECG
Pulse Artifact, R, 133035, 1, ECG
Pulse Artifact, R, 133265, 1, ECG
Pulse Artifact, R, 133482, 1, ECG
Pulse Artifact, R, 133742, 1, ECG
Pulse Artifact, R, 134197, 1, ECG
Pulse Artifact, R, 134427, 1, ECG
Pulse Artifact, R, 134656, 1, ECG
Pulse Artifact, R, 134893, 1, ECG
Pulse Artifact, R, 135128, 1, ECG
Pulse Artifact, R, 135347, 1, ECG
Pulse Artifact, R, 135596, 1, ECG
Pulse Artifact, R, 136059, 1, ECG
Pulse Artifact, R, 136302, 1, ECG
Pulse Artifact, R, 136519, 1, ECG
Pulse Artifact, R, 136755, 1, ECG
Pulse Artifact, R, 136999, 1, ECG
Pulse Artifact, R, 137239, 1, ECG
Pulse Artifact, R, 137446, 1, ECG
Pulse Artifact, R, 137665, 1, ECG
Pulse Artifact, R, 137904, 1, ECG
Pulse Artifact, R, 138149, 1, ECG
Pulse Artifact, R, 138370, 1, ECG
Pulse Artifact, R, 138594, 1, ECG
Pulse Artifact, R, 138852, 1, ECG
Pulse Artifact, R, 139104, 1, ECG
Pulse Artifact, R, 139342, 1, ECG
Pulse Artifact, R, 139557, 1, ECG
Pulse Artifact, R, 139800, 1, ECG
Pulse Artifact, R, 140056, 1, ECG
Pulse Artifact, R, 140296, 1, ECG
Pulse Artifact, R, 140517, 1, ECG
Pulse Artifact, R, 140771, 1, ECG
Pulse Artifact, R, 141009, 1, ECG
Pulse Artifact, R, 141249, 1, ECG
Pulse Artifact, R, 141469, 1, ECG
Pulse Artifact, R, 141711, 1, ECG
Pulse Artifact, R, 141960, 1, ECG
Pulse Artifact, R, 142203, 1, ECG
Pulse Artifact, R, 142421, 1, ECG
Pulse Artifact, R, 142659, 1, ECG
Pulse Artifact, R, 142910, 1, ECG
Pulse Artifact, R, 143153, 1, ECG
Pulse Artifact, R, 143375, 1, ECG
Pulse Artifact, R, 143831, 1, ECG
Pulse Artifact, R, 144072, 1, ECG
Pulse Artifact, R, 144320, 1, ECG
Pulse Artifact, R, 144544, 1, ECG
Pulse Artifact, R, 144784, 1, ECG
Pulse Artifact, R, 145044, 1, ECG
Pulse Artifact, R, 145509, 1, ECG
Pulse Artifact, R, 145754, 1, ECG
Pulse Artifact, R, 145998, 1, ECG
Pulse Artifact, R, 146241, 1, ECG
Pulse Artifact, R, 146505, 1, ECG
Pulse Artifact, R, 146725, 1, ECG
Pulse Artifact, R, 146978, 1, ECG
Pulse Artifact, R, 147440, 1, ECG
Pulse Artifact, R, 147679, 1, ECG
Pulse Artifact, R, 147905, 1, ECG
Pulse Artifact, R, 148152, 1, ECG
Pulse Artifact, R, 148405, 1, ECG
Pulse Artifact, R, 148863, 1, ECG
Pulse Artifact, R, 149106, 1, ECG
Pulse Artifact, R, 149345, 1, ECG
Pulse Artifact, R, 149606, 1, ECG
Pulse Artifact, R, 149840, 1, ECG
Pulse Artifact, R, 150063, 1, ECG
Pulse Artifact, R, 150536, 1, ECG
Pulse Artifact, R, 150782, 1, ECG
Pulse Artifact, R, 151003, 1, ECG
Pulse Artifact, R, 151243, 1, ECG
Pulse Artifact, R, 151502, 1, ECG
Pulse Artifact, R, 151748, 1, ECG
Pulse Artifact, R, 151979, 1, ECG
Pulse Artifact, R, 152225, 1, ECG
Pulse Artifact, R, 152694, 1, ECG
Pulse Artifact, R, 152938, 1, ECG
Pulse Artifact, R, 153158, 1, ECG
Pulse Artifact, R, 153398, 1, ECG
Pulse Artifact, R, 153642, 1, ECG
Pulse Artifact, R, 153887, 1, ECG
Pulse Artifact, R, 154100, 1, ECG
Pulse Artifact, R, 154324, 1, ECG
Pulse Artifact, R, 154585, 1, ECG
Pulse Artifact, R, 154835, 1, ECG
Pulse Artifact, R, 155062, 1, ECG
Pulse Artifact, R, 155292, 1, ECG
Pulse Artifact, R, 155542, 1, ECG
Pulse Artifact, R, 155785, 1, ECG
Pulse Artifact, R, 156009, 1, ECG
Pulse Artifact, R, 156249, 1, ECG
Pulse Artifact, R, 156502, 1, ECG
Pulse Artifact, R, 156754, 1, ECG
Pulse Artifact, R, 156980, 1, ECG
Pulse Artifact, R, 157214, 1, ECG
Pulse Artifact, R, 157469, 1, ECG
Pulse Artifact, R, 157720, 1, ECG
Pulse Artifact, R, 157956, 1, ECG
Pulse Artifact, R, 158182, 1, ECG
Pulse Artifact, R, 158429, 1, ECG
Pulse Artifact, R, 158908, 1, ECG
Pulse Artifact, R, 159143, 1, ECG
Pulse Artifact, R, 159375, 1, ECG
Pulse Artifact, R, 159619, 1, ECG
Pulse Artifact, R, 159881, 1, ECG
Pulse Artifact, R, 160108, 1, ECG
Pulse Artifact, R, 160342, 1, ECG
Pulse Artifact, R, 160820, 1, ECG
Pulse Artifact, R, 161067, 1, ECG
Pulse Artifact, R, 161290, 1, ECG
Pulse Artifact, R, 161533, 1, ECG
Pulse Artifact, R, 161796, 1, ECG
Pulse Artifact, R, 162037, 1, ECG
Pulse Artifact, R, 162261, 1, ECG
Pulse Artifact, R, 162520, 1, ECG
Pulse Artifact, R, 162983, 1, ECG
Pulse Artifact, R, 163217, 1, ECG
Pulse Artifact, R, 163453, 1, ECG
Pulse Artifact, R, 163700, 1, ECG
Pulse Artifact, R, 163922, 1, ECG
Pulse Artifact, R, 164150, 1, ECG
Pulse Artifact, R, 164421, 1, ECG
Pulse Artifact, R, 164883, 1, ECG
Pulse Artifact, R, 165124, 1, ECG
Pulse Artifact, R, 165371, 1, ECG
Pulse Artifact, R, 165635, 1, ECG
Pulse Artifact, R, 166092, 1, ECG
Pulse Artifact, R, 166335, 1, ECG
Pulse Artifact, R, 166572, 1, ECG
Pulse Artifact, R, 166813, 1, ECG
Pulse Artifact, R, 167037, 1, ECG
Pulse Artifact, R, 167272, 1, ECG
Pulse Artifact, R, 167542, 1, ECG
Pulse Artifact, R, 167999, 1, ECG
Pulse Artifact, R, 168242, 1, ECG
Pulse Artifact, R, 168477, 1, ECG
Pulse Artifact, R, 168715, 1, ECG
Pulse Artifact, R, 168938, 1, ECG
Pulse Artifact, R, 169173, 1, ECG
Pulse Artifact, R, 169432, 1, ECG
Pulse Artifact, R, 169674, 1, ECG
Pulse Artifact, R, 169898, 1, ECG
Pulse Artifact, R, 170144, 1, ECG
Pulse Artifact, R, 170394, 1, ECG
